"oid","longitude","latitude","providers","species","datasets","date_min","date_max","num_records","num_animals","num_species","y1_value","y2_value","y3_value","csquare","geom_wkt"
24546591,-58,-17,"Projeto TAMAR","Eretmochelys imbricata","984","2005-11-10","2005-11-10",1,1,1,,,,"5105:467","POLYGON((-57 -16,-57 -17,-58 -17,-58 -16,-57 -16))"
24545030,-57,-6,"Projeto TAMAR","Caretta caretta","984","2008-04-28","2009-05-02",2,1,1,,,,"5005:467","POLYGON((-57 -6,-57 -7,-58 -7,-58 -6,-57 -6))"
24547134,-57,1,"Projeto TAMAR","Caretta caretta","984","2006-06-08","2007-08-17",3,3,1,,,,"7005:207","POLYGON((-57 0,-58 0,-58 1,-57 1,-57 0))"
23102862,-58,15,"Observatorio Ambiental Granadilla","Caretta caretta","496","2010-03-24","2010-03-24",3,1,1,,,,"7105:457","POLYGON((-57 15,-58 15,-58 16,-57 16,-57 15))"
23212360,-58,17,"Jake Levenson","Dermochelys coriacea","1174","2014-06-25","2014-06-26",7,1,1,,,,"7105:467","POLYGON((-57 16,-58 16,-58 17,-57 17,-57 16))"
23212373,-57,18,"Jacob Levenson;Jake Levenson","Dermochelys coriacea","1174;890","2012-06-12","2014-07-04",32,3,1,,,,"7105:477","POLYGON((-57 17,-58 17,-58 18,-57 18,-57 17))"
23212381,-57,19,"Jacob Levenson;Jake Levenson","Dermochelys coriacea","1174;890","2011-06-15","2014-07-05",47,6,1,,,,"7105:487","POLYGON((-57 18,-58 18,-58 19,-57 19,-57 18))"
23250915,-57,20,"DomSeTCO/Oceans Forward;Jacob Levenson","Dermochelys coriacea","1386;890","2011-06-18","2016-06-19",29,5,1,,,,"7105:497","POLYGON((-57 19,-58 19,-58 20,-57 20,-57 19))"
23251895,-57,21,"DomSeTCO/Oceans Forward;Jacob Levenson","Dermochelys coriacea","1386;890","2011-06-28","2016-06-21",23,3,1,,,,"7205:207","POLYGON((-57 20,-58 20,-58 21,-57 21,-57 20))"
23251898,-57,22,"DomSeTCO/Oceans Forward","Dermochelys coriacea","1386","2016-06-21","2016-06-23",13,1,1,,,,"7205:217","POLYGON((-57 21,-58 21,-58 22,-57 22,-57 21))"
23251901,-57,23,"DomSeTCO/Oceans Forward;Jacob Levenson","Dermochelys coriacea","1386;890","2011-07-01","2016-06-25",26,2,1,,,,"7205:227","POLYGON((-57 22,-58 22,-58 23,-57 23,-57 22))"
23251903,-57,24,"DomSeTCO/Oceans Forward;Jacob Levenson","Dermochelys coriacea","1386;890","2011-07-04","2016-06-27",19,2,1,,,,"7205:237","POLYGON((-57 23,-58 23,-58 24,-57 24,-57 23))"
23251906,-57,25,"DomSeTCO/Oceans Forward","Dermochelys coriacea","1386","2016-06-28","2016-06-29",7,1,1,,,,"7205:247","POLYGON((-57 24,-58 24,-58 25,-57 25,-57 24))"
23251931,-57,26,"DomSeTCO/Oceans Forward","Dermochelys coriacea","1386","2016-06-30","2016-07-01",2,1,1,,,,"7205:457","POLYGON((-57 25,-58 25,-58 26,-57 26,-57 25))"
23541391,-57,27,"CRAM-UPV;DomSeTCO/Oceans Forward","Caretta caretta;Dermochelys coriacea","1386;1401","2016-07-02","2017-10-15",8,2,2,,,,"7205:467","POLYGON((-57 26,-58 26,-58 27,-57 27,-57 26))"
23251941,-57,28,"DomSeTCO/Oceans Forward","Dermochelys coriacea","1386","2016-07-04","2016-07-05",6,1,1,,,,"7205:477","POLYGON((-57 27,-58 27,-58 28,-57 28,-57 27))"
23251952,-57,29,"DomSeTCO/Oceans Forward","Dermochelys coriacea","1386","2016-07-06","2016-07-08",3,1,1,,,,"7205:487","POLYGON((-57 28,-58 28,-58 29,-57 29,-57 28))"
23251958,-57,30,"DomSeTCO/Oceans Forward","Dermochelys coriacea","1386","2016-07-10","2016-07-12",6,1,1,,,,"7205:497","POLYGON((-57 29,-58 29,-58 30,-57 30,-57 29))"
23261923,-57,31,"DomSeTCO/Oceans Forward","Dermochelys coriacea","1386","2016-07-12","2016-07-14",2,1,1,,,,"7305:207","POLYGON((-57 30,-58 30,-58 31,-57 31,-57 30))"
